null,null,지수명,현재가,null,전일비,등락률(%),시가지수,고가지수,저가지수,전체종목수,거래종목수,상승,상한,하락,하한,보합,거래량(천주),거래대금(백만원),상장시가총액(원)
2,029,(코) 운송,"3,807.65",2,"2.34","-0.06","3,809.99","3,951.16","3,794.55","5","5","2","0","2","0","1","25,893","107,780","478,308,324,030"
2,031,(코) 금융,"883.14",1,"10.01","1.15","873.86","895.03","873.86","87","81","41","0","22","0","18","220,914","698,387","6,864,772,301,921"
2,037,(코) 오락·문화,"508.38",2,"8.72","-1.69","516.74","517.91","506.60","29","26","10","0","16","0","0","37,448","154,460","9,504,940,638,425"
2,041,(코) 통신방송서비스,"1,435.82",2,"22.22","-1.52","1,458.71","1,458.71","1,427.61","18","17","2","0","14","0","1","23,265","118,873","7,084,894,542,540"
2,042,(코) IT S/W & SVC,"2,056.54",2,"5.67","-0.27","2,064.54","2,069.44","2,051.63","149","143","56","0","79","0","8","162,047","1,046,671","36,144,828,329,415"
2,043,(코) IT H/W,"619.57",1,"8.94","1.46","611.14","621.63","611.14","306","284","163","0","105","0","16","606,451","3,052,854","79,209,292,811,394"
2,056,(코) 음식료·담배,"9,681.33",2,"52.26","-0.54","9,732.75","9,757.51","9,662.71","37","36","10","0","24","0","2","32,585","197,989","5,562,416,714,355"
2,058,(코) 섬유·의류,"141.33",1,"0.18","0.13","141.33","141.94","140.41","15","15","7","0","8","0","0","15,436","107,932","1,519,636,231,650"
2,062,(코) 종이·목재,"15,532.67",1,"189.93","1.24","15,379.38","15,839.60","15,322.31","9","9","6","0","3","0","0","46,986","277,806","2,398,887,632,535"
2,063,(코) 출판·매체복제,"5,229.26",1,"165.69","3.27","5,070.07","5,229.26","5,045.49","23","21","8","0","12","0","1","28,237","233,513","2,935,901,746,665"
2,065,(코) 화학,"3,124.22",1,"103.16","3.41","3,022.53","3,124.22","3,017.31","79","77","38","0","34","0","5","203,238","1,292,820","17,881,459,683,300"
2,066,(코) 제약,"13,815.98",2,"52.13","-0.38","13,868.69","13,999.72","13,797.69","100","99","28","0","66","0","5","58,881","2,025,199","55,069,179,148,580"
2,067,(코) 비금속,"58,615.61",2,"88.71","-0.15","58,789.76","59,123.90","58,218.47","14","14","3","0","11","0","0","8,146","53,740","2,634,603,898,990"
2,068,(코) 금속,"1,920.26",1,"9.75","0.51","1,913.09","1,924.49","1,890.87","64","60","23","0","31","0","6","57,406","284,832","6,643,875,557,932"
2,070,(코) 기계·장비,"649.56",1,"10.38","1.62","639.36","649.76","638.07","100","96","49","0","42","0","5","582,854","1,827,541","18,197,279,827,406"
2,072,(코) 일반전기전자,"992.57",1,"11.42","1.16","982.90","996.27","980.40","63","62","31","0","24","0","7","45,882","535,918","14,458,633,814,933"
2,074,(코) 의료·정밀기기,"1,669.81",2,"8.11","-0.48","1,678.55","1,680.58","1,657.59","61","59","23","0","32","0","4","69,999","400,192","11,996,531,752,104"
2,075,(코) 운송장비·부품,"6,976.91",1,"1.21","0.02","6,974.75","7,054.92","6,965.09","65","59","23","2","35","0","1","117,386","699,649","11,604,650,473,964"
2,077,(코) 기타제조,"1,292.58",2,"18.58","-1.42","1,318.11","1,319.09","1,284.64","9","8","3","0","3","0","2","3,770","24,039","1,215,623,654,020"
2,151,(코) 통신서비스,"852.72",2,"3.87","-0.45","858.88","859.65","849.72","8","8","2","0","6","0","0","15,382","57,396","1,476,516,859,558"
2,152,(코) 방송서비스,"4,574.22",2,"83.96","-1.80","4,657.62","4,657.62","4,540.46","10","9","0","0","8","0","1","7,883","61,477","5,608,377,682,982"
2,153,(코) 인터넷,"19,426.89",1,"52.05","0.27","19,355.13","19,563.63","19,276.99","11","10","3","0","7","0","0","15,667","45,091","2,803,878,511,525"
2,154,(코) 디지털컨텐츠,"1,198.44",2,"1.24","-0.10","1,200.18","1,203.13","1,192.34","43","42","15","0","24","0","3","34,968","290,858","17,924,255,180,454"
2,155,(코) 소프트웨어,"292.45",2,"2.41","-0.82","295.57","296.42","291.86","73","70","25","0","42","0","3","58,854","355,373","13,236,760,647,461"
2,156,(코) 컴퓨터서비스,"297.12",1,"2.76","0.94","294.94","299.45","294.94","22","21","13","0","6","0","2","52,557","355,348","2,179,933,989,975"
